store_id,product_id,day,daily_sales,stock_level,price,promotion_flag
store_1,prod_1,1,12,86,17.682636744044682,False
store_1,prod_1,2,13,96,3.157272204199447,True
store_1,prod_1,3,14,90,1.8372513698372464,True
store_1,prod_1,4,21,43,10.973099747790927,False
store_1,prod_1,5,0,29,18.973446907066386,False
store_1,prod_1,6,7,75,9.579746145505927,False
store_1,prod_1,7,11,79,3.34239180667999,False
store_1,prod_1,8,13,60,4.155422194336761,True
store_1,prod_1,9,42,25,14.00197072958155,True
store_1,prod_1,10,24,37,18.632983254348115,True
store_1,prod_1,11,13,47,2.4584031758860223,False
store_1,prod_1,12,27,70,7.291783294118846,False
store_1,prod_1,13,46,28,8.893417011249703,False
store_1,prod_1,14,27,87,4.364562852548507,False
store_1,prod_1,15,47,86,19.388252015321214,False
store_1,prod_1,16,15,43,6.991911122056233,False
store_1,prod_1,17,44,32,4.220577745455114,False
store_1,prod_1,18,17,85,12.166243347463373,True
store_1,prod_1,19,49,66,18.526251389466363,True
store_1,prod_1,20,12,74,15.866090432042968,True
store_1,prod_1,21,38,72,14.058615689067834,False
store_1,prod_1,22,44,63,10.307539057637147,True
store_1,prod_1,23,42,42,1.3168404563069438,True
store_1,prod_1,24,17,95,14.886536569747047,False
store_1,prod_1,25,32,38,10.91580223500092,False
store_1,prod_1,26,48,56,14.148960507755152,False
store_1,prod_1,27,34,59,11.423179886039081,True
store_1,prod_1,28,22,73,2.1243643654072946,False
store_1,prod_1,29,47,54,8.52401836132669,False
store_1,prod_1,30,7,74,19.03618901866672,True
store_1,prod_2,1,25,44,8.772617824062648,False
store_1,prod_2,2,22,83,14.886712843121947,True
store_1,prod_2,3,22,49,18.834631452574072,False
store_1,prod_2,4,22,98,4.067698847220561,True
store_1,prod_2,5,38,42,6.985199636485067,False
store_1,prod_2,6,17,66,1.478782801600323,False
store_1,prod_2,7,6,69,1.8229901918319271,True
store_1,prod_2,8,5,28,15.149997828754989,True
store_1,prod_2,9,30,40,14.965478537606645,False
store_1,prod_2,10,44,96,9.3702440375869,False
store_1,prod_2,11,36,36,14.1863308680091,False
store_1,prod_2,12,24,77,1.1228227980045005,False
store_1,prod_2,13,10,57,2.734867248348734,True
store_1,prod_2,14,13,85,18.888010512615242,True
store_1,prod_2,15,34,43,1.5876867464777547,False
store_1,prod_2,16,48,54,18.034918510911194,False
store_1,prod_2,17,24,64,10.39590137728775,False
store_1,prod_2,18,42,35,12.34195924485028,True
store_1,prod_2,19,22,44,15.247338694477106,True
store_1,prod_2,20,8,20,7.220998215935512,True
store_1,prod_2,21,33,99,4.77424696105071,True
store_1,prod_2,22,17,53,9.28390843084113,True
store_1,prod_2,23,5,40,9.103495197595361,False
store_1,prod_2,24,40,67,4.369204511254849,True
store_1,prod_2,25,41,29,10.84347246276655,False
store_1,prod_2,26,17,79,1.2775709450687742,True
store_1,prod_2,27,8,34,8.361574622528234,False
store_1,prod_2,28,8,28,6.577161056714548,True
store_1,prod_2,29,15,34,3.9218904047511076,False
store_1,prod_2,30,4,24,11.727222139735806,False
store_1,prod_3,1,46,21,16.505501804523675,False
store_1,prod_3,2,41,93,4.9595918987483,True
store_1,prod_3,3,7,86,1.9351973762744705,False
store_1,prod_3,4,8,30,5.192370132813221,True
store_1,prod_3,5,41,32,4.97965962068071,True
store_1,prod_3,6,11,56,5.542261297425564,False
store_1,prod_3,7,8,71,10.73207944586398,False
store_1,prod_3,8,22,59,16.271349484223492,True
store_1,prod_3,9,22,48,6.764325328953531,True
store_1,prod_3,10,4,50,19.347140530069208,False
store_1,prod_3,11,16,21,19.338983132368966,False
store_1,prod_3,12,38,89,7.972266733136809,True
store_1,prod_3,13,17,94,13.259152941048614,False
store_1,prod_3,14,4,78,1.1294792601024342,False
store_1,prod_3,15,46,81,15.88435717992093,False
store_1,prod_3,16,40,87,16.106102334516493,False
store_1,prod_3,17,34,74,3.7200657984126666,True
store_1,prod_3,18,37,26,1.4858261827049586,True
store_1,prod_3,19,24,35,10.237299427992777,False
store_1,prod_3,20,7,99,16.367700146341996,False
store_1,prod_3,21,16,82,18.597898835802557,True
store_1,prod_3,22,26,29,15.528368057312598,True
store_1,prod_3,23,5,43,2.8526461568136297,False
store_1,prod_3,24,28,44,2.021673921577684,False
store_1,prod_3,25,23,94,10.700837765841568,True
store_1,prod_3,26,33,47,16.245524580519017,False
store_1,prod_3,27,13,70,19.095348295575768,True
store_1,prod_3,28,38,78,16.426978458119784,False
store_1,prod_3,29,47,78,16.26165318863132,True
store_1,prod_3,30,0,48,15.097576860765733,False
store_1,prod_4,1,3,54,17.587819793288865,False
store_1,prod_4,2,44,26,14.631834821626331,True
store_1,prod_4,3,15,90,8.28454568010692,True
store_1,prod_4,4,10,61,11.429283001161362,False
store_1,prod_4,5,35,56,10.71115913130051,True
store_1,prod_4,6,16,67,16.74547069254212,False
store_1,prod_4,7,2,66,3.0026261705327832,False
store_1,prod_4,8,13,82,14.40707253101065,True
store_1,prod_4,9,30,36,6.780595412716719,False
store_1,prod_4,10,22,69,6.819718940863213,False
store_1,prod_4,11,14,98,19.26691577319894,True
store_1,prod_4,12,49,55,5.428383425925864,True
store_1,prod_4,13,2,81,18.899106170283314,True
store_1,prod_4,14,33,80,3.6458273449093754,False
store_1,prod_4,15,48,32,19.53979755242972,False
store_1,prod_4,16,14,97,7.5377407391394,False
store_1,prod_4,17,17,90,17.718377907813274,True
store_1,prod_4,18,24,57,2.1994682749513625,True
store_1,prod_4,19,1,97,17.514322290658658,False
store_1,prod_4,20,28,80,15.916214499882193,True
store_1,prod_4,21,36,35,17.211606914745232,False
store_1,prod_4,22,48,62,9.702543715093503,False
store_1,prod_4,23,1,23,10.744620103800088,False
store_1,prod_4,24,29,25,6.91986305206235,True
store_1,prod_4,25,4,88,18.493136614793773,False
store_1,prod_4,26,40,56,4.880600021000149,True
store_1,prod_4,27,41,76,3.002700433167172,True
store_1,prod_4,28,35,83,6.346466661271098,False
store_1,prod_4,29,28,57,14.924324559304788,True
store_1,prod_4,30,17,90,18.64735125306982,True
store_1,prod_5,1,0,23,10.735463593910024,False
store_1,prod_5,2,26,62,15.136543026605857,True
store_1,prod_5,3,27,74,1.6762143853230513,False
store_1,prod_5,4,15,53,2.0227799732607226,False
store_1,prod_5,5,23,75,12.868615511390619,False
store_1,prod_5,6,17,73,7.483644545396691,True
store_1,prod_5,7,42,58,16.48636991284033,True
store_1,prod_5,8,14,37,17.454677825869375,True
store_1,prod_5,9,29,77,1.7162567733822032,True
store_1,prod_5,10,17,26,15.336817862908996,False
store_1,prod_5,11,0,87,19.850577150093073,False
store_1,prod_5,12,49,48,14.421067939389925,False
store_1,prod_5,13,8,66,8.666138411512993,True
store_1,prod_5,14,5,39,16.722950185122524,False
store_1,prod_5,15,7,84,19.076540377603017,True
store_1,prod_5,16,23,66,4.513485651875742,False
store_1,prod_5,17,34,81,8.160470726596582,False
store_1,prod_5,18,10,48,15.010788941926977,False
store_1,prod_5,19,33,84,19.114654708259806,False
store_1,prod_5,20,17,36,6.977949269768777,True
store_1,prod_5,21,24,98,15.880067187550246,False
store_1,prod_5,22,2,75,6.388550544925589,True
store_1,prod_5,23,43,54,15.456833575758683,True
store_1,prod_5,24,20,89,2.4792738725666226,True
store_1,prod_5,25,0,40,17.333261561699523,False
store_1,prod_5,26,39,45,10.723828674820133,True
store_1,prod_5,27,35,93,10.546847345492544,True
store_1,prod_5,28,22,26,4.785174030904454,True
store_1,prod_5,29,43,98,17.68990139785427,True
store_1,prod_5,30,3,97,11.346551168438834,True
store_1,prod_6,1,31,38,14.317771935341986,False
store_1,prod_6,2,16,31,16.132370668946066,False
store_1,prod_6,3,40,20,3.959691951023233,True
store_1,prod_6,4,5,37,5.189666955596312,True
store_1,prod_6,5,22,42,6.205773889929465,True
store_1,prod_6,6,14,63,19.42270283918242,True
store_1,prod_6,7,14,55,4.402803847235449,False
store_1,prod_6,8,26,76,14.413168495020136,False
store_1,prod_6,9,32,99,19.64389397043426,True
store_1,prod_6,10,15,97,10.085019547561037,True
store_1,prod_6,11,14,86,4.648305610060698,False
store_1,prod_6,12,32,60,11.091080430413024,True
store_1,prod_6,13,2,77,12.883235553165276,False
store_1,prod_6,14,42,26,16.586157674796816,True
store_1,prod_6,15,13,71,13.077261117099653,True
store_1,prod_6,16,9,90,16.671332011616784,False
store_1,prod_6,17,35,40,8.26034639473949,True
store_1,prod_6,18,32,93,19.3871136718406,True
store_1,prod_6,19,41,70,13.213106339619873,False
store_1,prod_6,20,15,60,10.995567849930655,False
store_1,prod_6,21,26,47,4.877665561959445,False
store_1,prod_6,22,49,77,4.423014306919766,False
store_1,prod_6,23,49,90,8.84904055681574,True
store_1,prod_6,24,22,79,1.481623481014831,True
store_1,prod_6,25,25,94,2.059076218161393,True
store_1,prod_6,26,47,62,2.6543529059688558,True
store_1,prod_6,27,44,59,4.934084584277624,True
store_1,prod_6,28,16,76,1.11489382049559,True
store_1,prod_6,29,23,28,7.513940331303564,True
store_1,prod_6,30,49,59,14.57921782947895,True
store_1,prod_7,1,20,37,17.805095824338423,False
store_1,prod_7,2,9,36,4.713702006999598,False
store_1,prod_7,3,19,64,7.228925778150647,True
store_1,prod_7,4,13,68,3.1832205238762956,False
store_1,prod_7,5,17,39,12.079428645604516,True
store_1,prod_7,6,42,28,6.966832331450217,True
store_1,prod_7,7,14,38,2.6550764997672465,False
store_1,prod_7,8,24,45,7.500519402126004,False
store_1,prod_7,9,48,72,4.616402526805903,True
store_1,prod_7,10,41,38,11.810154182355165,True
store_1,prod_7,11,11,68,6.931645791941371,True
store_1,prod_7,12,42,68,17.12096371371903,True
store_1,prod_7,13,7,71,16.034401557436986,False
store_1,prod_7,14,6,65,15.090918461585888,False
store_1,prod_7,15,23,80,15.151676435068348,True
store_1,prod_7,16,48,44,8.63564915349805,False
store_1,prod_7,17,15,77,12.085008861350266,True
store_1,prod_7,18,27,25,13.06013868097656,False
store_1,prod_7,19,6,97,11.368223407447491,False
store_1,prod_7,20,13,90,10.209100821789843,True
store_1,prod_7,21,44,82,3.016386124328914,False
store_1,prod_7,22,25,94,12.64988631095734,False
store_1,prod_7,23,29,68,18.061149107515366,False
store_1,prod_7,24,32,32,12.747525176340972,False
store_1,prod_7,25,33,45,10.70844411785618,False
store_1,prod_7,26,35,59,1.7460359813245443,True
store_1,prod_7,27,22,98,7.33955692204016,True
store_1,prod_7,28,47,21,3.9097455015951676,True
store_1,prod_7,29,45,22,10.354883766872891,False
store_1,prod_7,30,1,97,11.89770232050749,False
store_1,prod_8,1,43,25,10.447823845226681,False
store_1,prod_8,2,21,37,7.229013919830547,True
store_1,prod_8,3,29,70,4.642988130415063,False
store_1,prod_8,4,47,38,7.46008333513795,True
store_1,prod_8,5,42,67,7.765768618162012,True
store_1,prod_8,6,10,34,9.176584115071808,False
store_1,prod_8,7,4,42,15.99143404641455,True
store_1,prod_8,8,14,22,4.733252372168012,True
store_1,prod_8,9,25,40,15.212305457288645,True
store_1,prod_8,10,10,57,17.300763365949248,False
store_1,prod_8,11,34,33,6.036544402432879,False
store_1,prod_8,12,11,57,11.024171492171147,False
store_1,prod_8,13,33,60,16.611189825800153,True
store_1,prod_8,14,16,86,6.752727437167376,True
store_1,prod_8,15,0,31,2.0888958901992494,False
store_1,prod_8,16,12,23,12.071036784537075,True
store_1,prod_8,17,1,31,15.482029107969364,False
store_1,prod_8,18,5,27,7.239324492715502,True
store_1,prod_8,19,11,92,8.749902561638322,False
store_1,prod_8,20,10,72,14.83223289812775,True
store_1,prod_8,21,19,27,15.713970397519763,False
store_1,prod_8,22,11,33,17.264020422969903,False
store_1,prod_8,23,20,40,3.6000581651407795,False
store_1,prod_8,24,38,39,18.53025765246787,True
store_1,prod_8,25,8,20,14.769228830974665,False
store_1,prod_8,26,43,63,17.192035432831805,False
store_1,prod_8,27,5,36,12.846864708308935,False
store_1,prod_8,28,23,70,2.6226575730917117,False
store_1,prod_8,29,20,89,12.669538642061216,False
store_1,prod_8,30,38,52,9.153840347208115,False
store_1,prod_9,1,27,76,9.679538286566569,False
store_1,prod_9,2,47,61,4.704207158473981,False
store_1,prod_9,3,41,51,19.642449617083003,True
store_1,prod_9,4,10,42,1.6927599656867507,False
store_1,prod_9,5,39,50,1.857875923833547,False
store_1,prod_9,6,32,21,5.985759153296737,True
store_1,prod_9,7,36,54,17.355179801394407,True
store_1,prod_9,8,17,91,3.02584875979536,False
store_1,prod_9,9,9,71,19.872038732165183,False
store_1,prod_9,10,25,55,10.815924245231232,True
store_1,prod_9,11,39,87,17.115448467318995,False
store_1,prod_9,12,36,38,4.827814500017126,True
store_1,prod_9,13,15,84,2.817173224450603,False
store_1,prod_9,14,7,37,18.343215207749374,True
store_1,prod_9,15,25,49,2.213715581187154,True
store_1,prod_9,16,28,22,17.188919900289164,True
store_1,prod_9,17,11,21,1.3045349726473394,False
store_1,prod_9,18,17,96,17.352688613988818,False
store_1,prod_9,19,1,26,18.718767465413258,False
store_1,prod_9,20,11,35,1.6690882969849465,False
store_1,prod_9,21,8,51,4.051280205822863,True
store_1,prod_9,22,4,94,18.08572944749485,True
store_1,prod_9,23,40,72,7.0080873287032714,True
store_1,prod_9,24,41,26,15.447601278462171,False
store_1,prod_9,25,34,34,4.496850668954057,True
store_1,prod_9,26,5,84,4.971703710332523,False
store_1,prod_9,27,25,80,1.7663431906305875,True
store_1,prod_9,28,20,59,4.914107892488758,True
store_1,prod_9,29,15,80,19.730269529555795,False
store_1,prod_9,30,15,50,1.3991739827408542,True
store_1,prod_10,1,43,31,8.260525267693769,False
store_1,prod_10,2,47,28,11.228898939919432,False
store_1,prod_10,3,27,75,3.294186082036922,False
store_1,prod_10,4,45,96,9.460206470529387,True
store_1,prod_10,5,47,77,7.904674707989113,False
store_1,prod_10,6,37,87,12.941541234487875,True
store_1,prod_10,7,40,91,18.549631913443402,True
store_1,prod_10,8,9,62,16.161962669165256,False
store_1,prod_10,9,14,24,8.583395908454357,False
store_1,prod_10,10,9,31,19.1365230059325,True
store_1,prod_10,11,17,99,14.635846998076492,True
store_1,prod_10,12,22,95,5.5412761586529236,True
store_1,prod_10,13,2,28,17.521139764484616,False
store_1,prod_10,14,42,54,11.308893212353157,True
store_1,prod_10,15,33,97,8.481347689742726,True
store_1,prod_10,16,44,69,15.105028804705855,False
store_1,prod_10,17,15,95,5.377346148331899,False
store_1,prod_10,18,41,20,4.192380991660893,False
store_1,prod_10,19,16,54,11.967105387170053,False
store_1,prod_10,20,38,68,7.439950731620526,True
store_1,prod_10,21,21,23,14.32085415992113,True
store_1,prod_10,22,3,90,5.871847526279894,True
store_1,prod_10,23,23,50,15.256284740579163,False
store_1,prod_10,24,42,74,18.288673005034653,False
store_1,prod_10,25,25,99,11.186952338801985,True
store_1,prod_10,26,14,46,9.68087336300807,False
store_1,prod_10,27,29,49,19.367416660350752,False
store_1,prod_10,28,48,68,3.111866715882925,True
store_1,prod_10,29,3,63,4.87589746857836,True
store_1,prod_10,30,19,98,16.63135551262692,False
store_2,prod_1,1,36,40,6.526660230400068,False
store_2,prod_1,2,36,96,13.365831209668213,True
store_2,prod_1,3,17,97,3.4523536916867474,False
store_2,prod_1,4,19,71,19.491956777579343,False
store_2,prod_1,5,6,63,2.4307272383709253,True
store_2,prod_1,6,33,85,7.517507539210463,False
store_2,prod_1,7,31,61,7.255381691486496,True
store_2,prod_1,8,4,29,5.840225439397658,True
store_2,prod_1,9,20,27,3.3683011508634535,True
store_2,prod_1,10,38,97,4.501726542051882,True
store_2,prod_1,11,48,28,1.8941092097403591,False
store_2,prod_1,12,30,71,12.512039488410178,False
store_2,prod_1,13,42,82,6.514847002078059,False
store_2,prod_1,14,32,32,15.475907993172196,True
store_2,prod_1,15,28,62,11.175306988858166,False
store_2,prod_1,16,43,29,10.683472565271453,True
store_2,prod_1,17,0,90,7.380510928189156,True
store_2,prod_1,18,27,99,19.279111479885678,True
store_2,prod_1,19,19,73,17.91837801202063,True
store_2,prod_1,20,20,37,7.162248703602366,True
store_2,prod_1,21,28,38,8.69440316014758,True
store_2,prod_1,22,44,22,16.591243997158813,True
store_2,prod_1,23,40,59,3.9358957698198607,True
store_2,prod_1,24,44,74,2.4123575688353576,False
store_2,prod_1,25,44,75,19.364610348230336,True
store_2,prod_1,26,5,96,7.5966511836820265,True
store_2,prod_1,27,16,85,18.81515581920014,False
store_2,prod_1,28,6,82,12.593724170730855,True
store_2,prod_1,29,19,92,1.2697360549627503,True
store_2,prod_1,30,1,82,14.078429819384732,True
store_2,prod_2,1,16,88,19.913008745583667,True
store_2,prod_2,2,6,58,8.707259929497512,True
store_2,prod_2,3,3,44,17.213026546665134,False
store_2,prod_2,4,3,48,5.317960017633584,True
store_2,prod_2,5,23,33,6.613018689961534,False
store_2,prod_2,6,18,31,3.533209510508928,False
store_2,prod_2,7,23,94,4.238787720051199,True
store_2,prod_2,8,0,98,1.549942018123974,True
store_2,prod_2,9,14,47,10.199287611104742,True
store_2,prod_2,10,34,46,7.499319258493552,False
store_2,prod_2,11,19,84,4.562584685260626,True
store_2,prod_2,12,0,29,5.9561356732796895,True
store_2,prod_2,13,31,81,4.459199448755252,False
store_2,prod_2,14,17,65,2.512496462857607,False
store_2,prod_2,15,17,58,17.577879084757885,False
store_2,prod_2,16,43,91,12.079009388318061,False
store_2,prod_2,17,33,90,8.386599844370341,False
store_2,prod_2,18,37,78,8.495108425938293,True
store_2,prod_2,19,8,91,19.367950323167054,True
store_2,prod_2,20,17,24,10.765153487123452,False
store_2,prod_2,21,3,58,19.36582219702604,True
store_2,prod_2,22,27,95,4.052038639752463,False
store_2,prod_2,23,21,50,6.196015792124616,False
store_2,prod_2,24,37,74,1.9365953625239123,False
store_2,prod_2,25,24,20,15.19865359363728,True
store_2,prod_2,26,11,24,14.512041663027556,False
store_2,prod_2,27,37,31,10.767556494557521,False
store_2,prod_2,28,9,98,11.95435480907166,False
store_2,prod_2,29,16,87,8.697053037169278,True
store_2,prod_2,30,30,53,2.217799509687334,False
store_2,prod_3,1,44,77,6.287085555556623,False
store_2,prod_3,2,43,34,1.5767223051270811,False
store_2,prod_3,3,36,51,5.134170858701245,False
store_2,prod_3,4,21,93,3.2614047853696806,True
store_2,prod_3,5,11,67,5.181711254898176,True
store_2,prod_3,6,1,23,2.7017544620099025,False
store_2,prod_3,7,16,71,5.057314235316486,True
store_2,prod_3,8,31,93,1.1404461274415674,True
store_2,prod_3,9,18,40,8.427431109982084,False
store_2,prod_3,10,23,78,8.948570342381403,False
store_2,prod_3,11,36,59,14.61551968024059,True
store_2,prod_3,12,30,75,10.612590202781483,False
store_2,prod_3,13,12,87,15.185460888239872,True
store_2,prod_3,14,26,25,14.057452525752975,False
store_2,prod_3,15,48,21,1.1867234988259692,False
store_2,prod_3,16,1,71,4.344470345781542,True
store_2,prod_3,17,25,41,6.7777980834543925,True
store_2,prod_3,18,2,79,9.480200839744663,False
store_2,prod_3,19,4,58,1.9989135584090598,True
store_2,prod_3,20,44,31,11.098105679354596,False
