clean_name,fdc_id,food_description,category_description,category_simple,brain_diet_flag,default_weight_unit,shelf_life_days,publication_date
"Apricot, With Skin, Raw",2710815,"Apricot, with skin, raw",Fruits and Fruit Juices,fruit,True,1 unit,7,2024-10-31
Figs,326786,"Figs, Pass 2, Region 2, OR/WA3, NFY010CJ3",Fruits and Fruit Juices,fruit,True,1 unit,7,2019-04-01
"Figs, Dried",326869,"Figs, Dried, Pass 2, Region 3, n/a, Yes, Riboflavin - NFY010CFV",Fruits and Fruit Juices,fruit,True,1 unit,7,2019-04-01
"Figs, Dried",326870,"Figs, Dried, Pass 2, Region 3, n/a, Yes, Niacin - NFY010CG0",Fruits and Fruit Juices,fruit,True,1 unit,7,2019-04-01
"Strawberries, Fresh",327566,"Strawberries, fresh, Region 3, n/a, Yes - Minerals, Se, NF0008K4",Fruits and Fruit Juices,fruit,True,1 unit,7,2019-04-01
Figs,326756,"Figs, Pass 2, Region 1, AR1, NFY010CJ8",Fruits and Fruit Juices,fruit,True,1 unit,7,2019-04-01
"Figs, Dried",326868,"Figs, Dried, Pass 2, Region 3, n/a, Yes, Thiamin - NFY010CFU",Fruits and Fruit Juices,fruit,True,1 unit,7,2019-04-01
"Oranges, Navel",327360,"Oranges, navel, Pass 2, Region 2, AlbertsonsStore (store #584) , OR/WA2 - NFY0107DD",Fruits and Fruit Juices,fruit,True,1 unit,7,2019-04-01
Kiwi,326932,"Kiwi, Region 4, n/a, Yes, Vitamin K - NFY0100UL",Fruits and Fruit Juices,fruit,True,1 unit,7,2019-04-01
"Pears, Bosc",332474,"Pears, Bosc, Region 1, n/a, Yes, Fiber - NFY0000BR",Fruits and Fruit Juices,fruit,True,1 unit,7,2019-04-01
"Strawberries, Walmart, Ar1, Nf0008Sl",327630,"Strawberries, Walmart, AR1, NF0008SL",Fruits and Fruit Juices,fruit,True,1 unit,7,2019-04-01
"Figs, Dried",326867,"Figs, Dried, Pass 2, Region 3, n/a, Yes, Vitamin C - NFY010CFT",Fruits and Fruit Juices,fruit,True,1 unit,7,2019-04-01
"Peaches, Raw",325313,"Peaches, raw, Region 4, n/a, Yes - Fiber, NF0009EO",Fruits and Fruit Juices,fruit,True,1 unit,7,2019-04-01
"Pears, Green Anjou, Regions 1 & 4",332461,"Pears, Green Anjou, Regions 1 & 4, n/a, Yes, Pantothenic Acid - NFY0000GP",Fruits and Fruit Juices,fruit,True,1 unit,7,2019-04-01
"Grapefruit Juice, White, Shelf Stable, Signature Kitchen - Az, Ca2",325271,"Grapefruit Juice, White, Shelf Stable, Signature Kitchen - AZ, CA2",Fruits and Fruit Juices,fruit,True,1 unit,7,2019-04-01
"Olives, Green Manzanilla, Mario - Ky, TX",332674,"Olives, Green Manzanilla, Mario - KY, TX",Fruits and Fruit Juices,fruit,True,1 unit,7,2019-04-01
"Oranges, Navel",327363,"Oranges, Navel, Pass 2, Region 2, n/a, Yes - Minerals, NFY01074X",Fruits and Fruit Juices,fruit,True,1 unit,7,2019-04-01
"Orange Juice, Refrigerated, No Pulp, Not Fortified",2003754,"ORANGE JUICE, REFRIGERATED, NO PULP, NOT FORTIFIED",Fruits and Fruit Juices,fruit,True,1 unit,7,2021-10-15
"Peaches, Raw",325423,"Peaches, Raw, Pass 2, Region 1, n/a, Yes, Amino Acids - NFY010BRJ",Fruits and Fruit Juices,fruit,True,1 unit,7,2019-04-01
"Peaches, Raw",325416,"Peaches, Raw, Pass 2, Region 1, MO2, NFY010CII",Fruits and Fruit Juices,fruit,True,1 unit,7,2019-04-01
"Oranges, Navel",327500,"Oranges, navel, Pass 2, Region 1, NFY010GKW -- carotenoids",Fruits and Fruit Juices,fruit,True,1 unit,7,2019-04-01
"Oranges, Navel",327466,"Oranges, Navel, Region 3, Pure Composite, CY01071",Fruits and Fruit Juices,fruit,True,1 unit,7,2019-04-01
"Cantaloupe, Longview , Wa, Nf0009T1, Outlet13",327048,"Cantaloupe, Longview , WA, NF0009T1, Outlet13",Fruits and Fruit Juices,fruit,True,1 unit,7,2019-04-01
"Strawberries, Fresh",327688,"Strawberries, Fresh, Pass 2, Region 3, n/a, Yes - Vitamin C, NFY01091A",Fruits and Fruit Juices,fruit,True,1 unit,7,2019-04-01
Kiwi,327038,"Kiwi, Pass 2, Region 4, n/a, Yes, Thiamin - NFY010C03",Fruits and Fruit Juices,fruit,True,1 unit,7,2019-04-01
"Oranges, Navel",327371,"Oranges, Navel, Pass 2, Region 2, n/a, Yes - Folate, NFY01075C",Fruits and Fruit Juices,fruit,True,1 unit,7,2019-04-01
Kiwi,326954,"Kiwi, Region 2, n/a, Yes, Selenium - NFY0100SU",Fruits and Fruit Juices,fruit,True,1 unit,7,2019-04-01
Figs,326755,"Figs, Pass 2, Region 1, AR1, NFY010CJ7",Fruits and Fruit Juices,fruit,True,1 unit,7,2019-04-01
"Nectarines, Walmart, Tx3, Nf0008Ve",327280,"Nectarines, Walmart, TX3, NF0008VE",Fruits and Fruit Juices,fruit,True,1 unit,7,2019-04-01
"Peaches, Springfield , NJ, Nf0009Uk, Outlet9",325307,"Peaches, Springfield , NJ, NF0009UK, Outlet9",Fruits and Fruit Juices,fruit,True,1 unit,7,2019-04-01
"Carrots, Whole, Baby, , 14Oz, Tx2, Nf9912Ax",326406,"Carrots, Whole, Baby, Store Brand, 14oz, TX2, NF9912AX",Vegetables and Vegetable Products,vegetable,True,1 unit,7,2019-04-01
"Carrots, Crinkle Cut, , Frozen, 16Oz",326357,"Carrots, Crinkle Cut, Store Brand, Frozen, 16oz, PA4, NF9912BZ",Vegetables and Vegetable Products,vegetable,True,1 unit,7,2019-04-01
"Tomatoes, Diced, Canned, , Sunny Select",333122,"Tomatoes, diced, canned, STORE BRAND, SUNNY SELECT (CA) - NFY120AD1",Vegetables and Vegetable Products,vegetable,True,1 unit,7,2019-04-01
"Carrots, Whole, Unprepared - Proximates",326440,"Carrots, whole, unprepared - Proximates - NF99140C",Vegetables and Vegetable Products,vegetable,True,1 unit,7,2019-04-01
"Carrots, Whole, Unprepared - Minerals",326415,"Carrots, whole, unprepared - Minerals - NF99143V",Vegetables and Vegetable Products,vegetable,True,1 unit,7,2019-04-01
"Tocopherols, Pickles, Kosher Dill, Spears, Vlasic",324373,"Tocopherols, Pickles, kosher dill, spears, VLASIC (MI,OK) - NFY120HN5",Vegetables and Vegetable Products,vegetable,True,1 unit,7,2019-04-01
"Starch, Onion Rings, Frozen, Ore-Ida",324293,"Starch, Onion rings, frozen, ORE-IDA (FL,MO) - NFY1207BB",Vegetables and Vegetable Products,vegetable,True,1 unit,7,2019-04-01
Broccoli,321890,"Broccoli, Pass 2, Region 3, n/a, Yes, Minerals - NFY010D86",Vegetables and Vegetable Products,vegetable,True,1 unit,7,2019-04-01
Kale,323502,Kale - NFY1212EX,Vegetables and Vegetable Products,vegetable,True,1 unit,7,2019-04-01
