store_id,product_id,product_name,category,brain_diet_flag,shelf_life_days,daily_sales,starting_inventory,end_inventory,wasted_units,waste_percentage,date,store_location
1,1,Get,Situation,True,3,166,261,95,0,0.0,2025-10-03,"(Decimal('33.5268745'), Decimal('81.464371'))"
1,1,Defense,Middle,True,6,62,130,68,0,0.0,2025-10-02,"(Decimal('-4.8104075'), Decimal('108.350853'))"
1,1,Series,Computer,False,1,142,253,111,0,0.0,2025-10-03,"(Decimal('62.648509'), Decimal('-61.250523'))"
1,1,Sea,Development,False,9,79,203,124,0,0.0,2025-10-03,"(Decimal('26.9726035'), Decimal('125.716304'))"
1,1,Concern,Agreement,True,8,83,174,91,0,0.0,2025-10-02,"(Decimal('-13.670457'), Decimal('151.220000'))"
1,1,Team,Fall,False,1,60,155,95,0,0.0,2025-10-03,"(Decimal('10.9305315'), Decimal('-64.147629'))"
1,1,Could,Recent,True,9,93,167,74,0,0.0,2025-10-03,"(Decimal('10.299498'), Decimal('-61.331442'))"
1,1,Describe,Statement,True,9,92,166,74,0,0.0,2025-10-01,"(Decimal('17.6513575'), Decimal('41.261875'))"
1,1,None,Interview,False,5,113,234,121,0,0.0,2025-10-01,"(Decimal('-63.0746455'), Decimal('95.375984'))"
1,1,School,Maintain,False,7,152,115,-37,0,0.0,2025-10-02,"(Decimal('86.580660'), Decimal('-138.896949'))"
1,1,Join,Attack,False,4,193,115,-78,0,0.0,2025-10-03,"(Decimal('-63.079056'), Decimal('-36.859090'))"
1,1,Enough,Onto,True,5,99,190,91,0,0.0,2025-10-01,"(Decimal('-23.3834315'), Decimal('-74.546881'))"
1,1,Form,Represent,True,2,134,170,36,0,0.0,2025-10-02,"(Decimal('40.201449'), Decimal('122.800552'))"
1,1,Red,Sit,False,3,68,223,155,0,0.0,2025-10-01,"(Decimal('59.9808685'), Decimal('154.872019'))"
1,1,Prepare,Dog,False,3,86,112,26,0,0.0,2025-10-03,"(Decimal('85.474298'), Decimal('-164.622023'))"
1,1,Remain,Sport,True,5,63,286,223,0,0.0,2025-10-02,"(Decimal('76.998710'), Decimal('83.227991'))"
1,1,Talk,Sing,False,2,179,224,45,0,0.0,2025-10-03,"(Decimal('-34.862239'), Decimal('172.936231'))"
1,1,Serious,Stage,True,7,96,213,117,0,0.0,2025-10-01,"(Decimal('-5.1704375'), Decimal('-139.660539'))"
1,1,From,Away,False,3,67,248,181,0,0.0,2025-10-02,"(Decimal('-57.4396535'), Decimal('-112.889846'))"
1,1,Finally,Plan,False,2,118,297,179,0,0.0,2025-10-01,"(Decimal('-17.3438215'), Decimal('47.882879'))"
1,1,Visit,Strong,True,4,123,201,78,0,0.0,2025-10-02,"(Decimal('88.840401'), Decimal('44.738517'))"
1,1,Song,Sister,True,9,170,192,22,0,0.0,2025-10-03,"(Decimal('63.760755'), Decimal('-122.992310'))"
1,1,Pass,Front,True,7,147,278,131,0,0.0,2025-10-03,"(Decimal('-19.7679905'), Decimal('-45.990390'))"
